solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0486.hcp,34.049,39.635,27.612,114.490,*
graph0487.hcp,1.181,1.254,1.230,500.997,*
graph0488.hcp,.591,.593,.597,4.378,*
graph0489.hcp,24.347,32.617,22.225,126.513,*
graph0490.hcp,7.417,7.812,6.467,*,*
graph0491.hcp,18.779,22.940,14.736,122.542,*
graph0492.hcp,24.556,31.753,31.469,127.999,*
graph0494.hcp,27.666,31.448,21.935,126.137,*
graph0495.hcp,.904,1.006,.977,540.245,*
graph0496.hcp,10.043,11.652,7.847,106.702,*
graph0497.hcp,1.314,1.317,1.314,4.882,*
graph0500.hcp,2.746,2.795,2.476,135.753,*
graph0501.hcp,31.834,31.007,22.050,119.931,*
graph0502.hcp,10.880,11.002,11.266,134.973,*
graph0503.hcp,3.157,3.261,2.871,140.776,*
graph0504.hcp,23.229,26.652,16.778,137.080,*
graph0505.hcp,7.169,7.564,6.104,*,*
graph0506.hcp,20.374,24.510,16.140,129.863,*
graph0507.hcp,1.395,1.386,1.386,6.551,*
graph0510.hcp,2.812,2.753,2.470,139.738,*
graph0511.hcp,23.264,28.474,13.674,128.057,*
graph0512.hcp,1.595,1.729,1.718,569.713,*
graph0514.hcp,36.962,39.417,25.316,146.851,*
graph0515.hcp,61.096,74.809,58.045,122.089,*
graph0516.hcp,.992,1.092,1.055,513.520,*
graph0517.hcp,15.585,18.392,18.360,143.053,*
graph0518.hcp,56.149,59.165,59.931,100.827,211.060
graph0520.hcp,1.213,1.342,1.308,488.926,*
graph0521.hcp,1.450,1.458,1.451,5.602,*
graph0522.hcp,30.885,38.461,25.816,166.890,*
graph0523.hcp,10.151,10.075,8.149,*,*
graph0524.hcp,30.698,38.727,24.732,155.675,*
graph0526.hcp,31.906,41.920,26.610,145.633,*
graph0527.hcp,12.005,12.413,9.292,*,*
graph0528.hcp,2.877,3.060,2.667,159.559,*
graph0529.hcp,29.997,31.207,22.937,134.546,*
graph0530.hcp,1.544,1.534,1.541,5.769,*
graph0531.hcp,3.577,3.628,3.132,167.224,*
graph0532.hcp,51.114,58.100,35.257,135.415,*
graph0535.hcp,3.410,3.419,2.955,181.020,*
graph0538.hcp,20.324,23.973,17.277,175.397,*
graph0540.hcp,9.193,10.081,7.489,*,*
graph0541.hcp,11.827,12.341,9.653,*,*
graph0542.hcp,18.513,21.518,13.361,146.826,*
graph0543.hcp,1.156,1.234,1.201,525.406,*
graph0544.hcp,3.221,3.324,3.009,161.800,*
